OI_C,CHNG IN OI_C,VOLUME_C,IV_C,LTP_C,CHNG_C,BID QTY_C,BID PRICE_C,ASK PRICE_C,ASK QTY_C,STRIKE PRICE,BID QTY_P,BID PRICE_P,ASK PRICE_P,ASK QTY_P,CHNG_P,LTP_P,IV_P,VOLUME_P,CHNG IN OI_P,OI_P,TYPE_C,TYPE_P,BASQ_C,BASQ_P,RETURN_C,RETURN_P,RBAS_C,RBAS_P
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12000.00,53650.00,0.10,0.15,8300.00,-0.05,0.10,207.34,7531.00,-3442.00,11835.00,1,0,0.00,-45350.00,0,-0.333333333,0,0.025
616.00,-143.00,203.00,0.00,4489.45,121.05,50.00,4478.60,4503.15,500.00,13000.00,650.00,0.20,0.25,12350.00,-0.25,0.20,174.09,3916.00,-1587.00,17207.00,1,0,450.00,11700.00,0.027710375,-0.555555556,441003.925,0.045
169.00,0.00,50.00,0.00,3981.80,184.30,500.00,3990.50,4005.10,500.00,13500.00,8100.00,0.25,0.30,9050.00,-0.20,0.25,156.02,3415.00,52.00,5294.00,1,0,0.00,950.00,0.048531929,-0.444444444,233471.52,0.055
3036.00,-656.00,1138.00,0.00,3495.75,134.60,1000.00,3491.05,3507.25,50.00,14000.00,600.00,0.20,0.30,7100.00,-0.20,0.20,133.22,5009.00,-1246.00,18651.00,1,0,-950.00,6500.00,0.040045818,-0.5,226744.92,0.1
0.00,0.00,0.00,0.00,0.00,0.00,50.00,3091.35,3194.00,900.00,14350.00,300.00,0.20,0.25,1800.00,-0.30,0.20,119.47,1060.00,-87.00,248.00,1,0,850.00,1500.00,0,-0.6,1290382.355,0.045
3.00,0.00,4.00,130.05,3102.85,333.95,50.00,3037.15,3147.15,650.00,14400.00,5550.00,0.10,0.15,100.00,-0.40,0.10,111.53,1789.00,-405.00,1149.00,1,0,600.00,-5450.00,0.120607461,-0.8,1360546,0.025
8.00,7.00,24.00,178.94,3063.35,337.35,1250.00,2978.85,3049.15,250.00,14450.00,2050.00,0.15,0.25,450.00,-0.40,0.15,113.03,353.00,58.00,177.00,1,0,-1000.00,-1600.00,0.123752751,-0.727272727,847536.8,0.08
2393.00,-203.00,403.00,157.02,3007.15,149.50,200.00,2991.75,3005.60,450.00,14500.00,140650.00,0.05,0.10,56750.00,-0.35,0.10,107.83,18763.00,-1824.00,17115.00,1,0,250.00,-83900.00,0.052315714,-0.777777778,166126.595,0.015
0.00,0.00,0.00,0.00,0.00,0.00,1250.00,2867.95,3029.30,50.00,14550.00,4050.00,0.15,0.30,1800.00,-0.40,0.15,109.24,978.00,31.00,99.00,1,0,-1200.00,-2250.00,0,-0.727272727,1903042.575,0.135
1.00,0.00,0.00,0.00,0.00,0.00,1250.00,2818.95,2973.35,1250.00,14600.00,2400.00,0.15,0.25,200.00,-0.30,0.15,107.35,2942.00,-128.00,738.00,1,0,0.00,-2200.00,0,-0.666666667,1788662.24,0.08
2.00,0.00,4.00,0.00,2844.50,644.35,1250.00,2773.85,2854.50,50.00,14650.00,400.00,0.25,0.35,2700.00,-0.25,0.35,112.97,198.00,-36.00,165.00,1,0,-1200.00,2300.00,0.292866395,-0.416666667,907852.855,0.12
1.00,0.00,0.00,0.00,0.00,0.00,1250.00,2723.15,2867.20,1250.00,14700.00,900.00,0.20,0.35,100.00,-0.35,0.25,107.88,1896.00,76.00,711.00,1,0,0.00,-800.00,0,-0.583333333,1610579.835,0.165
23.00,0.00,0.00,0.00,0.00,0.00,1250.00,2667.65,2828.00,1250.00,14750.00,3250.00,0.15,0.30,50.00,-0.55,0.15,101.71,711.00,-399.00,297.00,1,0,0.00,-3200.00,0,-0.785714286,1762454.955,0.135
33.00,0.00,0.00,0.00,0.00,0.00,1250.00,2630.00,2775.25,1250.00,14800.00,2450.00,0.15,0.20,250.00,-0.45,0.15,99.84,1915.00,-328.00,2030.00,1,0,0.00,-2200.00,0,-0.75,1570225.125,0.035
83.00,0.00,0.00,0.00,0.00,0.00,1250.00,2571.00,2703.05,1250.00,14850.00,5200.00,0.15,0.65,50.00,-0.50,0.20,100.23,222.00,-40.00,140.00,1,0,0.00,-5150.00,0,-0.714285714,1392876.605,0.8
138.00,0.00,5.00,0.00,2579.00,88.45,1250.00,2531.85,2673.70,1100.00,14900.00,31500.00,0.05,0.15,4500.00,-0.70,0.05,88.74,6560.00,-1787.00,2490.00,1,0,-150.00,-27000.00,0.035514244,-0.933333333,1476814.535,0.04
56.00,0.00,0.00,0.00,0.00,0.00,1250.00,2487.50,2623.75,1250.00,14950.00,4300.00,0.10,0.20,2350.00,-0.55,0.20,96.43,1192.00,149.00,453.00,1,0,0.00,-1950.00,0,-0.733333333,1392815.625,0.06
6446.00,-1097.00,2866.00,0.00,2495.85,129.65,1300.00,2492.15,2501.20,200.00,15000.00,1500.00,0.35,0.45,9250.00,-0.35,0.45,101.33,40021.00,-12232.00,43863.00,1,0,-1100.00,7750.00,0.054792494,-0.4375,90379.635,0.16
12.00,0.00,0.00,0.00,0.00,0.00,1800.00,2374.55,2522.75,1100.00,15050.00,50.00,0.30,0.75,100.00,-0.40,0.35,97.13,7713.00,29.00,173.00,1,0,-700.00,50.00,0,-0.533333333,1451559.72,0.945
43.00,-1.00,2.00,0.00,2391.25,170.10,1250.00,2324.30,2470.70,1250.00,15100.00,50.00,0.20,0.30,750.00,-0.40,0.30,93.90,4138.00,-252.00,1600.00,1,0,0.00,700.00,0.076581951,-0.571428571,1403976,0.1
7.00,0.00,0.00,0.00,0.00,0.00,1250.00,2275.85,2392.20,50.00,15150.00,100.00,0.30,1.05,50.00,-0.50,0.25,90.55,86.00,-21.00,112.00,1,0,-1200.00,-50.00,0,-0.666666667,1086255.235,2.025
72.00,-1.00,2.00,140.42,2315.00,192.35,1250.00,2226.65,2361.20,1250.00,15200.00,2600.00,0.15,0.30,2800.00,-0.50,0.15,85.02,4792.00,-449.00,4420.00,1,0,0.00,200.00,0.09061786,-0.769230769,1234590.435,0.135
15.00,0.00,0.00,0.00,0.00,0.00,1250.00,2176.25,2316.40,1250.00,15250.00,4250.00,0.20,1.20,50.00,-0.50,0.20,85.14,181.00,21.00,191.00,1,0,0.00,-4200.00,0,-0.714285714,1259289.795,2.8
86.00,0.00,0.00,0.00,0.00,0.00,50.00,2143.05,2237.10,700.00,15300.00,100.00,0.15,0.25,1000.00,-0.50,0.15,81.36,14311.00,-201.00,15327.00,1,0,650.00,900.00,0,-0.769230769,823906.215,0.08
256.00,0.00,0.00,0.00,0.00,0.00,1250.00,2078.45,2194.70,1250.00,15350.00,1900.00,0.20,0.30,200.00,-0.50,0.20,81.40,510.00,-10.00,469.00,1,0,0.00,-1700.00,0,-0.714285714,993507.375,0.1
125.00,-6.00,7.00,119.13,2110.00,166.05,50.00,2044.95,2142.15,50.00,15400.00,11200.00,0.15,0.25,1200.00,-0.60,0.25,81.05,4231.00,-727.00,2476.00,1,0,0.00,-10000.00,0.085418864,-0.705882353,813972.24,0.08
162.00,0.00,0.00,0.00,0.00,0.00,2350.00,1980.05,2064.40,50.00,15450.00,50.00,0.35,0.75,1800.00,-0.50,0.50,84.26,3718.00,-2253.00,1092.00,1,0,-2300.00,1750.00,0,-0.5,682298.715,0.88
2965.00,-271.00,693.00,0.00,1998.55,135.95,450.00,1998.55,2000.90,400.00,15500.00,2500.00,0.45,0.60,6150.00,-0.60,0.40,80.57,42395.00,-3386.00,48621.00,1,0,-50.00,3650.00,0.07298937,-0.6,18797.415,0.315
61.00,0.00,0.00,0.00,0.00,0.00,1250.00,1888.45,1998.30,1250.00,15550.00,50.00,0.25,0.90,50.00,-0.45,0.40,78.62,661.00,-105.00,737.00,1,0,0.00,0.00,0,-0.529411765,853918.975,1.495
1049.00,-12.00,13.00,141.14,1933.80,314.55,250.00,1886.15,1933.45,700.00,15600.00,50.00,0.50,0.60,3450.00,-0.30,0.60,79.69,11714.00,-1744.00,7698.00,1,0,450.00,3400.00,0.1942566,-0.333333333,361334.16,0.22
53.00,0.00,0.00,0.00,0.00,0.00,1250.00,1782.85,1892.20,750.00,15650.00,1800.00,0.25,0.50,1000.00,-0.60,0.30,72.79,386.00,-50.00,474.00,1,0,-500.00,-800.00,0,-0.666666667,803733.435,0.375
4604.00,-42.00,85.00,107.82,1812.20,151.75,150.00,1789.70,1799.55,200.00,15700.00,1250.00,0.35,0.55,50.00,-0.55,0.35,71.88,13465.00,-2589.00,8495.00,1,0,50.00,-1200.00,0.091390888,-0.611111111,70708.225,0.36
227.00,-3.00,3.00,80.53,1753.95,260.20,600.00,1717.15,1771.45,600.00,15750.00,2600.00,0.50,1.20,50.00,-0.40,0.50,72.35,1267.00,-106.00,1029.00,1,0,0.00,-2550.00,0.174192469,-0.444444444,378861.96,2.38
9614.00,-70.00,169.00,0.00,1696.80,135.65,150.00,1689.05,1712.35,50.00,15800.00,200.00,0.45,0.50,3150.00,-0.40,0.50,70.38,26684.00,-5869.00,19553.00,1,0,-100.00,2950.00,0.086891074,-0.444444444,158505.24,0.095
382.00,-4.00,6.00,0.00,1629.85,223.65,2400.00,1584.95,1676.95,50.00,15850.00,850.00,0.45,1.05,50.00,-0.45,0.45,67.71,2287.00,-636.00,962.00,1,0,-2350.00,-800.00,0.159045655,-0.5,600189.6,1.8
5959.00,-77.00,106.00,0.00,1600.00,122.90,50.00,1592.35,1598.40,150.00,15900.00,7350.00,0.30,0.40,100.00,-0.60,0.30,63.30,28578.00,-1313.00,30002.00,1,0,100.00,-7250.00,0.083203575,-0.666666667,38608.075,0.14
431.00,-3.00,9.00,94.21,1562.10,172.70,150.00,1536.75,1569.05,750.00,15950.00,2800.00,0.40,0.60,50.00,-0.60,0.45,63.80,4271.00,-1006.00,2073.00,1,0,600.00,-2750.00,0.124298258,-0.571428571,200634.68,0.4
13545.00,-861.00,2466.00,0.00,1493.60,122.25,650.00,1491.90,1499.70,850.00,16000.00,9000.00,0.65,0.70,2150.00,-0.65,0.65,64.17,151289.00,-23387.00,83441.00,1,0,200.00,-6850.00,0.089145732,-0.5,46668.96,0.135
776.00,-2.00,2.00,88.67,1462.00,184.00,400.00,1434.95,1453.70,800.00,16050.00,50.00,0.65,0.90,4850.00,-0.60,0.70,62.64,5606.00,-156.00,1848.00,1,0,400.00,4800.00,0.143974961,-0.461538462,108324.375,0.775
1589.00,-111.00,189.00,0.00,1398.30,130.90,150.00,1390.35,1399.10,600.00,16100.00,7650.00,0.50,0.60,850.00,-0.75,0.60,59.65,47153.00,-6232.00,14100.00,1,0,450.00,-6800.00,0.10328231,-0.555555556,48815.375,0.22
503.00,-5.00,9.00,93.62,1370.00,208.60,50.00,1337.60,1348.30,50.00,16150.00,900.00,0.55,0.60,750.00,-0.95,0.55,57.14,7119.00,-769.00,1373.00,1,0,0.00,-150.00,0.179610815,-0.633333333,57478.26,0.115
3708.00,-115.00,682.00,67.56,1305.70,145.95,800.00,1290.75,1299.55,200.00,16200.00,2000.00,0.60,0.65,6050.00,-0.95,0.60,55.65,91896.00,-7564.00,35970.00,1,0,-600.00,4050.00,0.125846088,-0.612903226,45589.28,0.125
438.00,-1.00,8.00,82.03,1265.00,146.00,1800.00,1190.00,1256.45,50.00,16250.00,27150.00,0.55,0.85,50.00,-1.25,0.55,53.17,12205.00,-2171.00,2251.00,1,0,-1750.00,-27100.00,0.130473637,-0.694444444,325133.205,0.84
3977.00,-154.00,966.00,69.49,1208.55,137.65,800.00,1190.90,1199.15,150.00,16300.00,750.00,0.65,0.90,50.00,-1.55,0.55,51.19,124146.00,-20239.00,24075.00,1,0,-650.00,-700.00,0.128536745,-0.738095238,39435.825,0.775
415.00,-5.00,8.00,0.00,1124.65,139.65,150.00,1138.90,1151.00,150.00,16350.00,2400.00,0.60,1.00,550.00,-1.80,0.60,49.66,21588.00,-4660.00,2741.00,1,0,0.00,-1850.00,0.14177665,-0.75,55415.58,1.28
